ðiː the
ˈlɪb.ər.əl liberal
dʒeɪ jay
ɡæp gap
tuːb tube
ˌkɔːr.əˈspɑːn.dɪŋ corresponding
kæʃ cache
belt belt
ˈdʒæk.ɪt jacket
dɪˌtɝː.mɪˈneɪ.ʃən determination
ˌæn.əˈmeɪ.ʃən animation
ˈɔːr.ə.kəl oracle
ɝː er
liːs lease
ˌeɪ.viˈeɪ.ʃən aviation
praʊd proud
ɪkˈses excess
dɪˈzæs.tɚ disaster
kənˈsoʊl console
ˌtel.ə.kəˌmjuː.nəˈkeɪ.ʃənz telecommunications
ɪnˈstrʌk.tɚ instructor
ˈdʒaɪ.ənt giant
əˈtʃiːv achieved
ˌbes.tiˈæl.ə.t̬i bestiality
bɪz biz
əˈlɑːrm alarm
ˈvoʊl.t̬ɪdʒ voltage
ˈjuː.ʒu.əl usual
əˈpɪr appeared
ˈæŋ.ɡəl angle
rɑːb rob
ˈvaɪ.nəl vinyl
ˈmaɪ.nɪŋ mining
ˈmel.bɚn melbourne
ˈɑːnˌɡoʊ.ɪŋ ongoing
wɝːst worst
ɪˈmɪdʒ.ɪŋ imaging
ˈbet̬.ɪŋ betting
ˈlɪb.ɚ.t̬i liberty
waɪˈoʊ.mɪŋ wyoming
ˈblæk.dʒæk blackjack
ˌɑːr.dʒənˈtiː.nə argentina
ˈɪr.ə era
kənˈvɝːt convert
ˌpɑː.səˈbɪl.ə.t̬i possibility
ˈæn.ə.lɪst analyst
kəˈmɪʃ.ən.ɚ commissioner
ˈdeɪn.dʒɚ.əs dangerous
ɡəˈrɑːʒ garage
ɪkˈsaɪ.t̬ɪŋ exciting
rɪˌlaɪ.əˈbɪl.ə.t̬i reliability
ʌnˈfɔːr.tʃən.ət.li unfortunately
rɪˈspek.tɪv.li respectively
əˈtætʃ.mənt attachment
ˈrɪŋ.toʊn ringtone
ˈfɪn.lənd finland
ˈpleʒ.ɚ pleasure
ˈɑː.nɚ honor
æsp asp
ˈiː.ɡəl eagle
pænts pants
kəˈlʌm.bəs columbus
nɝːs nurse
prer prayer
əˈpɔɪnt.mənt appointment
ˈhɝː.ɪ.keɪn hurricane
ˈkwaɪ.ət quiet
lʌk luck
ˈpoʊ.stɪdʒ postage
prəˈduː.sɚ producer
ˌrep.rɪˈzent represented
ˈdaɪ.əl dial
tʃiːz cheese
ˈkɑː.mɪk comic
ˈker.fəl.i carefully
dʒet jet
ˌproʊ.dəkˈtɪv.ə.t̬i productivity
kraʊn crown
pɑːr par
ˌʌn.dɚˈɡraʊnd underground
ˌdaɪ.əɡˈnoʊ.sɪs diagnosis
ˈmeɪ.kɚ maker
kræk crack
ˈprɪn.sə.pəl principle
ɡæŋ gang
səˈmes.tɚ semester
ˈkæl.kjə.leɪ.t̬ɪd calculated
ˈfet̬.ɪʃ fetish
əˈpɪr.əns appearance
smoʊk smoke
əˈpætʃ.i apache
ɪnˈkɔːr.pə.reɪ.t̬ɪd incorporated
kræft craft
keɪk cake
əˈpɑːrt apart
ˈfel.oʊ fellow
blaɪnd blind
laʊndʒ lounge
mæd mad
ˈæl.ɡə.rɪ.ðəm algorithm
ˈsem.aɪ semi
ɡroʊs gross
ˈstrɑːŋ.li strongly
ˈvæl.ən.taɪn valentine
ken ken
ˈhɔːr.ɚ horror
fəˈmɪl.i.jɚ familiar
ˈkeɪ.pə.bəl capable
tɪl till
pen pen
ɪnˈvest investing
ədˈmɪʃ.ən admission
ʃuː shoe
iˈlekt elected
ˈker.i carrying
ˈvɪk.tɚ.i victory
sænd sand
ˈter.ər.ɪ.zəm terrorism
dʒɔɪ joy
ˌsiː.piːˈjuː cpu
ˈmeɪn.li mainly
ˈeθ.nɪk ethnic
ræn ran
ˈpɑːr.lə.mənt parliament
ˈæk.tɚ actor
siːl seal
fɪfθ fifth
ˈæl.ə.keɪt allocated
ˈsɪt̬.ə.zən citizen
ˈvɝː.t̬ə.kəl vertical
kəˈrek·ʃənz corrections
ˈstrʌk.tʃɚ.əl structural
mjuːˈnɪs.ə.pəl municipal
praɪz prize
ˈæb.sə.luːt absolute
ˈen.i.taɪm anytime
ˈsʌb.stəns substance
prəˈhɪb.ɪt prohibited
əˈdres addressed
paɪp pipe
ˈɡɑːr.di.ən guardian
ˈlek.tʃɚ lecture
ˌsɪm.jəˈleɪ.ʃən simulation
ˈleɪ.aʊt layout
ɪl ill
ˌkɑːn.sənˈtreɪ.ʃən concentration
ˈklæs·ɪks classics
leɪ lay
ɪnˌtɝː.prəˈteɪ.ʃən interpretation
lɑːl lol
ˈdɝː.t̬i dirty
dek deck
ˈdoʊ.neɪt donate
tɑːt taught
ˈbæŋ.krəpt.si bankruptcy
ˌemˈpiː mp
ˈwɝː.kɚ worker
ˌɑːp.tə.məˈzeɪ.ʃən optimization
əˈlaɪv alive
ˈtem.pəl temple
pruːv prove
dɪˈskʌv.ɚ discovered
wɪŋz wings
dʒəˈnet̬.ɪk genetic
ˈprɑː.mɪs promise
θɪn thin
ˌek.səˈbɪʃ.ən exhibition
prɪˈfɝː prefer
rɪdʒ ridge
ˈkæb.ən.ət cabinet
ˈmoʊ.dəm modem
ˌem.piːˈeɪtʃ mph
sɪk sick
doʊs dose
ɪˈvæl.ju.eɪt evaluate
ˈtrɑː.pɪ.kəl tropical
kəˈlekt collect
bet bet
ˌkɑːm.pəˈzɪʃ.ən composition
ˌneɪ.ʃənˈwaɪd nationwide
ˈvek.tɚ vector
ˈdef.ən.ət.li definitely
ʃeɪv shaved
ˈtɝː.nɪŋ turning
ˈbʌf.ɚ buffer
ˈpɝː.pəl purple
ɪɡˈzɪs.təns existence
ˈkɑː.mən.ter.i commentary
def def
ˌɪm.əˈɡreɪ.ʃən immigration
ˈmjuː.tʃu.əl mutual
ˈpaɪp.laɪn pipeline
ˈnes.ə.ser.ɪl.i necessarily
ˈsɪn.tæks syntax
ˈæt.rɪ.bjuːt attribute
ˈprɪz.ən prison
skɪl skill
ˈev.ri.deɪ everyday
əˈper.ənt.li apparently
səˈraʊn.dɪŋ surrounding
ˈmaʊn.tənz mountains
ˌpɑː.pjəˈler.ə.t̬i popularity
ˈɪŋ.kwɚ.i inquiry
ˈiː.θɚ.net ethernet
tʃekt checked
ɪɡˈzɪb.ɪt exhibit
θroʊ throw
trend trend
siˈer.ə sierra
ˈvɪz.ə.bəl visible
ˈdez.ɚt desert
jə ya
ˌen.biːˈeɪ nba
ˈbʌs.ti busty
koʊˈɔːr.dən.eɪ.t̬ɚ coordinator
ˈɑːb.vi.əs.li obviously
ˈmɝː.kjə.ri mercury
ˈhænd.bʊk handbook
ˈnæv.ə.ɡeɪt navigate
wɝːs worse
ˈsʌm.ɪt summit
ˌfʌn.dəˈmen.t̬əl fundamental
ˈbɝː.nɪŋ burning
ɪˈskeɪp escape
ˈsʌm.wɑːt somewhat
rɪˈsiː.vɚ receiver
səbˈstæn.ʃəl substantial
prəˈɡres.ɪv progressive
ɡlæns glance
ˈskɑː.t̬ɪʃ scottish
ˈtʃæm.pi.ən.ʃɪp championship
ɑːrˈkeɪd arcade
ɪmˈpɑː.sə.bəl impossible
ˈɑːb.vi.əs obvious
ˈfaɪ.bɚ fiber
dɪˈpreʃ.ən depression
ɡræf graph
ˈkʌv.ɚ.ɪŋ covering
ˈplæt.nəm platinum
ˈdʒʌdʒ.mənt judgment
ˈfaɪ.lɪŋ filing
ˈfɑː.stɚ foster
ˈmɑː.dəl.ɪŋ modeling
ˈpæs.ɪŋ passing
əˈwɔːrd awarded
ˈtɪʃ.uː tissue
ˌmem.ər.əˈbɪl.i.ə memorabilia
ˈkɑːr.trɪdʒ cartridge
ˌek.spləˈneɪ.ʃən explanation
foʊk folk
ɔːrɡ org
ˌsɪn.sɪˈnæt̬.i cincinnati
ˈsʌbˌsek.ʃən subsection
frɑːd fraud
iˌlekˈtrɪs.ə.t̬i electricity
ˈspek.trəm spectrum
əˈraɪ.vəl arrival
ˈpɑː.t̬ɚ.i pottery
ˈem.fə.sɪs emphasis
ˈrɑː.dʒɚ roger
ˈæs.pekt aspect
ˈwɝːk.pleɪs workplace
ˈɑː.səm awesome
ˈmek.sɪ.kən mexican
kənˈfɝːmd confirmed
praɪs priced
kræʃ crash
lɪft lift
dɪˈzaɪrd desired
ɪnˈtɝː inter
hɑɪts heights
ˈʃæd.oʊ shadow
ˈraɪ.dɪŋ riding
ɪnˈfek.ʃən infection
ɪkˈspens expense
ɡroʊv grove
ˌel.ə.dʒəˈbɪl.ə.t̬i eligibility
ˈven.tʃɚ venture
ˈklɪn.ɪk clinic
kəˈriː.ən korean
ˈhiː.lɪŋ healing
prɪnˈses princess
mɑːl mall
ˈen.t̬ɚ entering
ˈpæk.ɪt packet
spreɪ spray
ɪnˈvɑːlv.mənt involvement
dæd dad
ˈpleɪs.mənt placement
fʌnd funded
ɪkˈstend extend
ˈsʌb.sɪ.kwənt subsequent
pæt pat
ˈdʌb.lɪn dublin
ˈroʊ.lɪŋ rolling
fel fell
ˈmoʊ.t̬ɚˌsaɪ.kəl motorcycle
jɑːrd yard
dɪˈskloʊ.ʒɚ disclosure
ɪˈstæb.lɪʃ.mənt establishment
tiː te
əˈraɪv arrived
ˈtʊr.ɪst tourist
ˌeɪˈviː av
mer mayor
ˈmɝː.dɚ murder
ˈæd.ə.kwət adequate
ˈsen.ə.t̬ɚ senator
jiːld yield
pɔːr pour
daɪˈdʒest digest
redʒ reg
ˈlɑː.dʒɪŋ lodging
dʌst dust
hens hence
ˈwɪk.i wiki
ɪnˈtaɪr.li entirely
rɪˈpleɪs replaced
ˈreɪ.dɑːr radar
ˈres.kjuː rescue
ˌʌn.dɚˈɡrædʒ.u.ət undergraduate
ˈkɑːm.bæt combat
rɪˈduːs reducing
ˌɑː.kjəˈpeɪ.ʃən occupation
bʌt butt
ˈkloʊs.li closely
ˌreɪ.diˈeɪ.ʃən radiation
ˈdaɪr.i diary
ˈsɪr.i.əs.li seriously
ˈʃuː.t̬ɪŋ shooting
kent kent
ɪr ear
ˈbeɪ.kɚ baker
lɑːntʃ launched
ˈels.wer elsewhere
pəˈluː.ʃən pollution
kənˈsɝː.və.t̬ɪv conservative
ʃɑːk shock
əˈfek.tɪv.nəs effectiveness
əˈbrɑːd abroad
ˈeb.ən.i ebony
taɪ tie
wɔːrd ward
drɑːn drawn
ˈvɪz.ɪt visited
ruːf roof
ˈwɑː.kɚ walker
ˈdem.ən.streɪt demonstrate
ˈæt.mə.sfɪr atmosphere
kɪs kiss
biːst beast
aːr ˈeɪ ra
ˈɑː.pə.reɪt operated
ɪkˈsper.ə.mənt experiment
ˌoʊ.vɚˈsiːz overseas
dɑːdʒ dodge
ˈkaʊn.səl counsel
ˌfed.əˈreɪ.ʃən federation
ˈpiːt.sə pizza
ɪnˈvaɪt invited
mɑːd mod
ˌɑːrˈsiː rc
rʌʃ rush
juːˈkreɪn ukraine
ˈæb.səns absence
ˈklʌs.tɚ cluster
werˈæz whereas
ˈjoʊ.ɡə yoga
wʊdz woods
sɚˈpraɪz surprise
læmp lamp
ˈpɑːr.ʃəl partial
ˈev.riˌbɑː.di everybody
ˈnæʃ.vɪl nashville
ˈræn.kɪŋ ranking
ˌeɪtʃ.tiː.tiːˈpiː http
ˌsiː.iːˈoʊ ceo
səˈblaɪm sublime
ˈkaʊn.səl.ɪŋ counseling
ˈpæl.ɪs palace
əkˈsept.ə.bəl acceptable
ˈsæt̬.ɪs.faɪd satisfied
ɡlæd glad
ˈver.ə.faɪ verify
ɡloʊb globe
ˈtrʌs.tɪd trusted
ˈkɑː.pɚ copper
ræk rack
ˌmed.əˈkeɪ.ʃən medication
ˈwer.haʊs warehouse
ˈʃer.wer shareware
rep rep
rɪˈsiːt receipt
səˈpoʊzd supposed
ˈɔːr.dən.er.i ordinary
ˈnoʊ.bɑː.di nobody
ɡoʊst ghost
ˌvaɪ.əˈleɪ.ʃən violation
kənˈfɪɡ.jɚ configure
stəˈbɪl.ə.t̬i stability
əˈplaɪ applying
ˌsaʊθˈwest southwest
bɑːs boss
praɪd pride
ˌɪn.stəˈtuː.ʃən.əl institutional
ˌɪn.dɪˈpen.dəns independence
ˈnoʊ.ɪŋ knowing
rɪˈpɔːr.t̬ɚ reporter
məˈtæb.əl.ɪ.zəm metabolism
ˈtʃæm.pi.ən champion
ˈklaʊ.di cloudy
ˈpɝː.sən.əl.i personally
ˈtʃɪl.i chile
ˈplen.t̬i plenty
ˈsoʊ.loʊ solo
ˈsen.təns sentence
θroʊt throat
ɪɡˈnɔːr ignore
ˈjuː.nə.fɔːrm uniform
ˈek.səl.əns excellence
welθ wealth
tɑːl tall
ˈsʌm.wer somewhere
ˈvæk.juːm vacuum
dæns dancing
ˈrek.əɡ.naɪz recognize
bræs brass
ˈplɑː.zə plaza
sɚˈvaɪ.vəl survival
kwest quest
ˈpʌb.lɪʃ publish
ˈskriː.nɪŋ screening
toʊ toe
ˈθʌm.neɪl thumbnail
trænz trans
wenˈev.ɚ whenever
ˈnoʊ.və nova
ˈlaɪf.taɪm lifetime
ˌeɪ.piˈaɪ api
ˌpaɪəˈnɪr pioneer
ˈbuː.t̬i booty
ˈæk.rə.bæt acrobat
ˈven.juː venue
æθˈlet̬.ɪk athletic
ˈθɝː.məl thermal
bɪˈheɪ.vjɚ behaviour
ˈvaɪ.t̬əl vital
ˈtel.ɪŋ telling
ˈfer.li fairly
ˈkoʊ.stəl coastal
ˈtʃer.ə.t̬i charity
ɪnˈtel.ə.dʒənt intelligent
ˈed.ɪn.bɚ.ə edinburgh
ɪkˈsel excel
ˌɑː.bləˈɡeɪ.ʃən obligation
weɪk wake
ˈstuː.pɪd stupid
ˈhɑːr.bɚ harbor
ˈhʌŋ.ɡər.i hungary
ˈtræv.əl.ɚ traveler
ˈseɡ.mənt segment
ˈriː.ə.laɪz realize
rɪˈɡɑːrd.ləs regardless
læn lan
ˈen.ə.mi enemy
ˈpʌz.əl puzzle
ˈraɪ.zɪŋ rising
əˈluː.mə.nəm aluminum
ˈɪn.saɪt insight
ˌes.emˈes sms
ʃɪt shit
rɪˈstrɪk.tɪd restricted
rəˈpʌb.lɪ.kən republican
ˈlʌk.i lucky
ˈlæt̬.ɚ latter
θɪk thick
rɪˈpiːt repeat
ˈsɪn.droʊm syndrome
əˈten.dəns attendance
ˈpen.əl.ti penalty
drʌm drum
ˈɡlæs·əz glasses
ɪˈræk.i iraqi
ˈbɪl.dɚ builder
ˈvɪs.tə vista
tʃɪps chips
ˈter.i terry
flʌd flood
iːz ease
ˈæm.stɚ.dæm amsterdam
ˈɔːr.dʒi orgy
əˈriː.nə arena
əˈnaʊns.mənt announcement
ˈaʊt.kʌm outcome
əˈpriː.ʃi.eɪt appreciate
ɪkˈspænd expanded
ˈkæʒ.uː.əl casual
ɡroʊn grown
ˈpɑː.lɪʃ polish
ˈlʌv.li lovely
ˌdʒiːˈem gm
klɑːz clause
smaɪl smile
trups troops
ˌɪnˈdɔːr indoor
bʊlˈɡer.i.ə bulgaria
ɑːrmd armed
ˈbroʊ.kɚ broker
ˈtʃɑːr.dʒɚ charger
bɪˈliːv believed
paɪn pine
ˈkuː.lɪŋ cooling
tend tend
ɡʌlf gulf
ˌɑːrˈtiː rt
rɪk rick
dɪˈvɔːrs divorce
ˈʃɑː.pɚ shopper
ˈtoʊ.ki.oʊ tokyo
ˈpɑːrt.li partly
ˈkʌs.tə.maɪz customize
trəˈdɪʃ.ən tradition
ˈkæn.di candy
ˈtaɪ.ɡɚ tiger
foʊks folks
ˈsen.sɚ sensor
ɪkˈspoʊzd exposed
ˈtel.ɪ.kɑːm telecom
hʌnt hunt
ˈdep.jə.t̬i deputy
siːld sealed
taɪ thai
ˈloʊ.dɪd loaded
kəmˈpleɪnt complaint
bɑːlz balls
æfˈɡæn.ɪ.stæn afghanistan
buːst boost
ˈspæŋ.kɪŋ spanking
ˈskɑː.lɚ.ʃɪp scholarship
ˈɡʌv.ɚ.nəns governance
mɪl mill
faʊnd founded
ˈkrɑː.nɪk chronic
ˈtræn.i tranny
ˈmɔːr.əl moral
den den
ˈkeɪ.t̬ɚ.ɪŋ catering
ˈfɪŋ.ɡɚ finger
kiːps keeps
paʊnd pound
loʊˈkeɪt locate
ˈkæmˌkɔːr.dɚ camcorder
treɪnd trained
bɝːn burn
ˈɪm.plə.ment implementing
ˌaʊ.ɚˈselvz ourselves
bred bread
təˈbæk.oʊ tobacco
ˈwʊd.ən wooden
tʌf tough
ˈɪn.sɪ.dənt incident
ˈɡɑː.nə gonna
daɪˈnæm.ɪks dynamics
laɪ lie
siː.ɑːrˈem crm
ˌkɑːn.vɚˈseɪ.ʃən conversation
ˈdiː.kriːs decrease
tʃest chest
ˈpen.ʃən pension
ˈbɪl.i billy
ɪˈmɝː.dʒɪŋ emerging
ˈwɝː.ʃɪp worship
ˌkeɪ.pəˈbɪl.ə.t̬i capability
hɝːˈself herself
prəˈduːs producing
prəˈsɪʒ.ən precision
ˈdæm·ɪ·dʒɪz damages
kənˈtrɪb.juːt contributed
sɑːlv solve
ʃɔːrts shorts
ˌriː.prəˈdʌk.ʃən reproduction
maɪˈnɔːr.ə.t̬i minority
ˌtiːˈdiː td
dɪˈvɝːs diverse
æmp amp
ɑː ah
ˈdʒɑː.ni johnny
soʊl sole
ˈfræn.tʃaɪz franchise
rɪˈkɔːr.dɚ recorder
ˈfeɪ.sɪŋ facing
ˈnæn.si nancy
ˈpæʃ.ən passion
ˌriː.həˌbɪl.əˈteɪ.ʃən rehabilitation
meɪnˈteɪn maintaining
saɪt sight
leɪd laid
kleɪ clay
dɪˈfens defence
wiːk weak
ˈriː.fʌnd refund
dɪˈvaɪ.dɪd divided
rɪˈsep.ʃən reception
ˈeɪˌemˈdiː amd
waɪz wise
ˈsaɪ.prəs cyprus
ɑːdz odds
kəˈrekt.li correctly
ɪnˈsaɪ.dɚ insider
hɑrts hearts
dʒiˈɑː.ɡrə.fi geography
əˈpɪr appearing
ɪnˈteɡ.rə.t̬i integrity
ˈwɝː.i worry
dɪˌskrɪm.əˈneɪ.ʃən discrimination
iːv eve
ˈkɑːr.t̬ɚ carter
ˈleɡ.ə.si legacy
pliːzd pleased
ˈdeɪn.dʒɚ danger
ˈvaɪ.t̬ə- vitamin
ˈwaɪd.li widely
ˈprɑː- processed
freɪz phrase
ˈdʒen.ju.ɪn genuine
reɪz raising
ˌfʌŋk.ʃənˈæl.ə.t̬i functionality
ˈper.ə.daɪs paradise
ˈhaɪ.brɪd hybrid
ˌɪn.t̬ɚˈmiː.di.ət intermediate
ɪˈmoʊ.ʃən.əl emotional
liːf leaf
pæd pad
ˈɡlɔːr.i glory
ˈbɪl.ɪŋ billing
ˈdiː.zəl diesel
ˈvɝː.səs versus
kəmˈbaɪn combine
ˌoʊ.vɚˈnaɪt overnight
ˌdʒi.əˈɡræf.ɪk geographic
ɪkˈsiːd exceed
ˌbiːˈes bs
rɑːd rod
ˈsaʊ.di saudi
fɑːlt fault
ˈkjuː.bə cuba
prɪˈlɪm.ə.ner.i preliminary
ˌɪn.trəˈduːs introduce
sɪlk silk
prəˈmoʊ.ʃən.əl promotional
baɪ bi
kəmˈpaɪl compiled
roʊˈmæn.t̬ɪk romantic
rɪˈviːl revealed
ˈdʒen.ər.eɪ.t̬ɚ generator
ɪɡˈzæm.ɪn examine
ˈdʒɪm.i jimmy
səˈspen.ʃən suspension
sæd sad
kəˈrek.ʃən correction
wʊlf wolf
ˈsloʊ.li slowly
ɑːˌθen.t̬əˈkeɪ.ʃən authentication
kəˈmjuː.nə.keɪt communicate
ˈrʌɡ.bi rugby
ˈsʌp.lə.mənt supplement
kæl cal
ˈɪn.fənt infant
prəˈmoʊt promoting
ˈfluː.ɪd fluid
ɡrɑʊndz grounds
kɪk kick
rɪˈɡɑrdz regards
mɪəl meal
tɑː ta
hɝːt hurt
məˈʃiː.nɚ.i machinery
ˈbænd.wɪtθ bandwidth
ʌnˈlaɪk unlike
ɪˈkweɪ.ʒən equation
ˌprɑː.bəˈbɪl.ə.t̬i probability
pɑːt pot
ˌdaɪˈmen.ʃən dimension
raɪt wright
ˈpruː.vən proven
ədˈmɪʃ·ənz admissions
ˈwɔːr.ən warren
slɪp slip
ˈstʌd.id studied
rɪˈvjuː.ɚ reviewer
ˈkwɔːr.t̬ɚ.li quarterly
ˌɑːr.piːˈem rpm
ˈdev.əl devil
ɡræs grass
kəmˈplaɪ comply
ˈflɔːr.ɪst florist
ˈɪl.ə.streɪt illustrated
ˈtʃer.i cherry
ˌkɑːn.t̬ənˈen.t̬əl continental
ˈɑːl.tɚ.neɪt alternate
əˈtʃiːv.mənt achievement
ˈken.jə kenya
ˈweb.kæm webcam
ˈfjuː.nɚ.əl funeral
ɪnˈdʒɔɪ enjoyed
ˈɑː.t̬ə.meɪ.t̬ɪd automated
piː pee
ˈtʃɑːr.li charlie
kwiːˈbek quebec
ˈpæs.ən.dʒɚ passenger
kənˈviː.ni.ənt convenient
mɑːrz mars
ˈmæŋ.ɡə manga
ˈnoʊ.t̬ɪs noticed
ˈsɑː.kɪt socket
ˈsaɪ.lənt silent
ˈlɪt̬.ə.rer.i literary
eɡ egg
ˌɔːr.i.enˈteɪ.ʃən orientation
pɪl pill
θeft theft
ˈtʃaɪld.hʊd childhood
swɪŋ swing
ˈmet̬.ə meta
ˈæn.ə.lɑːɡ analog
ˈfeɪ.ʃəl facial
ˈtæl.ənt talent
ˈdeɪ.t̬ɪd dated
ˌflek.səˈbɪl.ə.t̬i flexibility
ˈsiː.kɚ seeker
ˈwɪz.dəm wisdom
ʃuːt shoot
ˈbaʊn.dər.i boundary
mɪnt mint
ˌɑːfˈset offset
ˈpeɪ.deɪ payday
iˈliːt elite
ˌdʒiːˈaɪ gi
spɪn spin
ˈswiː.dɪʃ swedish
ˈded.laɪn deadline
ˌdʒʊr.ɪsˈdɪk.ʃən jurisdiction
ˈroʊ.bɑːt robot
dɪˈspleɪ displaying
ˈwɪt.nəs witness
ɪˈkwɪpt equipped
ɪnˈkɝː.ɪdʒd encouraged
ˈpaʊ.dɚ powder
ˈbrɑːd.weɪ broadway
əˈkwaɪɚ acquired
əˈses assess
wɑːʃ wash
ˈen.trəns entrance
noʊm gnome
ruts roots
ˌdek.ləˈreɪ.ʃən declaration
ˈnoʊ.bəl noble
ˈɡlæz.ɡoʊ glasgow
ˌɑː.t̬əˈmeɪ.ʃən automation
rev rev
ˈɡɑː.spəl gospel
ʃɔːr shore
naɪt knight
prɪˈper preparing
luːs loose
rɪˈsɪp.i.ənt recipient
lɪŋk linking
ɝːn earned
ˈɪl.nəs illness
ɪzˈlæm.ɪk islamic
æθˈlet̬.ɪks athletics
ˌsaʊθˈiːst southeast
ˈpen.dɪŋ pending
dɪˈtɝː.mɪn determining
ˈleb.ə.nən lebanon
ˈpɝː.sən.əl.aɪz personalized
ʃː sh
kənˈdɪʃ.ən.ɪŋ conditioning
ˈtiːn.eɪdʒ teenage
soʊp soap
ˈtrɪp.əl triple
ˈkuː.pɚ cooper
dʒæm jam
ʌnˈjuː.ʒu.əl unusual
ˈæn.sɚ answered
dɪˈstrʌk.ʃən destruction
ɪnˈkriː.sɪŋ.li increasingly
maɪˈɡreɪ.ʃən migration
-ˈsɔːr.dɚ disorder
ruːˈtiːn routine
ˈtuːl.bɑːr toolbar
ˈbeɪ.sɪ.kəl.i basically
kənˈven.ʃən.əl conventional
ˈwer.ɪŋ wearing
ˈæk.sɪs axis
sɑːt sought
ˈmaʊn.t̬ɪd mounted
ˈhæb.ə.tæt habitat
ˈfaɪə.wɔːl firewall
ˈmiː.di.ən median
ˈskæn.ɚ scanner
ˌhɪrˈrɪn herein
ˌɑː.kjəˈpeɪ.ʃən.əl occupational
ˈæn.ə.meɪ.t̬ɪd animated
ˈhɔːr.ni horny
dʒuːˈdɪʃ.əl judicial
əˈdʒʌst.mənt adjustment
ˈhɪr.oʊ hero
ˈɪn.tə.dʒɚ integer
ˈbætʃ.əl.ɚ bachelor
ˈæt̬.ə.tuːd attitude
ɪnˈɡeɪdʒd engaged
ˈfɑː.lɪŋ falling
ˈbeɪ.sɪks basics
ˌmɑːn.triˈɔːl montreal
ˈkɑːr.pət carpet
ˌɑːrˈviː rv
ˈbaɪ.nɚ.i binary
dʒəˈnet̬.ɪks genetics
əˈtend attended
ˈdɪf.ə.kəl.t̬i difficulty
pʌŋk punk
kəˈlek.tɪv collective
koʊ.əˈlɪʃ.ən coalition
paɪ pi
duːk duke
ˌeɪˈaɪ ai
peɪs pace
bɪˈsaɪdz besides
weɪdʒ wage
kəˈlek.tɚ collector
ɑːrk arc
ˈæt.ləs atlas
dɑːn dawn
ˌrep.rɪˈzent representing
ˌɑːb.zɚˈveɪ.ʃən observation
ˈtɔːr.tʃɚ torture
dɪˈliːt deleted
koʊt coat
ˈmɪs.ɪz mrs
ˌres.təˈreɪ.ʃən restoration
kənˈviː.ni.əns convenience
rɪˈtɝːn returning
ˌɑː.pəˈzɪʃ.ən opposition
kənˈteɪ.nɚ container
dɪˈfen.dənt defendant
ˌkɑːn.fɚˈmeɪ.ʃən confirmation
æp app
ɪmˈbed.ɪd embedded
ˈsuː.pɚ.vaɪ.zɚ supervisor
ˈwɪz.ɚd wizard
kɔːr corps
ˈlɪv.ɚ liver
ˈlaɪ.ə.bəl liable
broʊˈʃʊr brochure
pəˈtɪʃ.ən petition
ˈriː.kɑːl recall
ænˈten.ə antenna
pɪk picked
əˈsuːm assumed
dɪˈpɑːr.tʃɚ departure
bɪˈliːf belief
ˈkɪl.ɪŋ killing
bəˈkiː.ni bikini
ˈmem.fɪs memphis
ˈʃoʊl.dɚ shoulder
deɪˈkɔːr decor
ˈaɪ.ɑːn ion
daɪˈæm.ə.t̬ɚ diameter
ˈɑː.t̬ə.wə ottawa
dɑːl doll
ˈpɑːd.kæst podcast
tɪt tit
pəˈruː peru
rɪˈfaɪn refine
ˈbɪd.ɚ bidder
ˈsɪŋ.ɚ singer
ˈher.əld herald
ˈlɪt̬.ɚ.ə.si literacy
ˈeɪ.dʒɪŋ aging
ˈnaɪ.ki nike
ˌɪn.t̬ɚˈven.ʃən intervention
pɪs pissing
fed fed
əˈtræk.ʃən attraction
ˈdaɪ.vɪŋ diving
ɪnˈvaɪt invite
ˌmɑː.də.fəˈkeɪ.ʃən modification
səˈpoʊz suppose
ˈkʌs.tə.maɪzd customized
riːd reed
ɪnˈvɑːlv involve
ˈmɑː.dɚ.ət moderate
ˈter.ɚ terror
ˈθɝː.t̬i thirty
maɪs mice
ˈɑː.pə.zɪt opposite
ˈræp.ɪd.li rapidly
bæn ban
temp temp
ˈɪn.troʊ intro
əˈʃʊr.əns assurance
klɝːk clerk
ˈhæp.ən.ɪŋ happening
væst vast
ˈaʊt.laɪn outline
ˈtræm.əˌdɔːl tramadol
ˈhɑː.lənd holland
dʒiːnz jeans
ˌmet.rəˈpɑː.lə.tən metropolitan
ˌkɑːm.pəˈleɪ.ʃən compilation
ˌver.ə.fəˈkeɪ.ʃən verification
ˌiː.enˈtiː ent
ɑːd odd
ræp wrap
muːd mood
ˈfeɪ.vɚ favor
kwɪz quiz
məks mx
ˈsɪɡ.mə sigma
əˈtræk.tɪv attractive
ˌeks.eɪtʃ.tiː.emˈel xhtml
əˈkeɪ.ʒən occasion
ˈvɪk.təm victim
ˈsliː.pɪŋ sleeping
ˈker.fəl careful
biːm beam
ˈɡɑːr.dən.ɪŋ gardening
əˈraɪv arrive
ˈɔːr.kə.strə orchestra
ˈsʌn.set sunset
træk tracked
ˌmɔːrˈoʊ.vɚ moreover
ˈmɪn.ə.məl minimal
ˌpɑː.liˈfɑː.nɪk polyphonic
ˈlɑː.t̬ɚ.i lottery
tɑːps tops
freɪmd framed
əˈsaɪd aside
ˈaʊtˌsɑː.sɪŋ outsourcing
ˈlaɪ.səns licence
